tpa = 290;tpv=500;;;;;;;;;
;;;;;;;;;;
dP = -17;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl (80);isTp;isSl;gain heure (19h);isTp;gain heure SL (18h) (80);isTp;isSl
13/07/06;67,469242;0;67,469242;0;0;55,562905;0;67,469242;0;0
14/07/06;136,451196;1;136,451196;1;0;138,241278;1;136,451196;1;0
15/07/06;0;0;0;0;0;0;0;0;0;0
16/07/06;0;0;0;0;0;0;0;0;0;0
17/07/06;115,629984;0;115,629984;0;0;115,629984;0;115,629984;0;0
18/07/06;143,980803;0;143,980803;0;0;159,97867;0;143,980803;0;0
19/07/06;138,174493;1;138,174493;1;0;139,5233;1;138,174493;1;0
20/07/06;-76,010135;0;-76,010135;0;0;-60,008001;0;-76,010135;0;0
21/07/06;155,169988;1;155,169988;1;0;157,168951;1;155,169988;1;0
22/07/06;0;0;0;0;0;0;0;0;0;0
23/07/06;0;0;0;0;0;0;0;0;0;0
24/07/06;-87,836039;0;-87,836039;0;0;-99,813681;0;-87,836039;0;0
25/07/06;103,215562;0;103,215562;0;0;75,426757;0;103,215562;0;0
26/07/06;-118,937492;0;-118,937492;0;0;-150,654156;0;-118,937492;0;0
27/07/06;-55,081967;0;-55,081967;0;0;-31,47541;0;-55,081967;0;0
28/07/06;100,967534;1;100,967534;1;0;109,034903;1;100,967534;1;0
29/07/06;0;0;0;0;0;0;0;0;0;0
30/07/06;0;0;0;0;0;0;0;0;0;0
31/07/06;-7,829832;0;-7,829832;0;0;3,914916;0;-7,829832;0;0
01/08/06;27,537372;0;27,537372;0;0;101,362218;1;27,537372;0;0
02/08/06;121,220021;0;121,220021;0;0;105,578728;0;121,220021;0;0
03/08/06;147,929085;1;147,929085;1;0;176,739324;1;147,929085;1;0
04/08/06;-169,402495;0;-240;0;1;-177,281681;0;-240;0;1
05/08/06;0;0;0;0;0;0;0;0;0;0
06/08/06;0;0;0;0;0;0;0;0;0;0
07/08/06;47,058824;0;47,058824;0;0;47,058824;0;47,058824;0;0
08/08/06;-15,756303;0;-15,756303;0;0;-15,756303;0;-15,756303;0;0
09/08/06;-268,52705;0;-240;0;1;-268,52705;0;-240;0;1
10/08/06;174,585388;1;174,585388;1;0;177,833717;1;174,585388;1;0
11/08/06;35,151673;0;35,151673;0;0;66,397604;0;35,151673;0;0
12/08/06;0;0;0;0;0;0;0;0;0;0
13/08/06;0;0;0;0;0;0;0;0;0;0
14/08/06;150,096758;1;150,096758;1;0;151,443753;1;150,096758;1;0
15/08/06;104,000959;1;104,000959;1;0;106,268109;1;104,000959;1;0
16/08/06;-223,675605;0;-223,675605;0;0;-168,737737;0;-223,675605;0;0
17/08/06;-58,769753;0;-58,769753;0;0;-129,293457;0;-58,769753;0;0
18/08/06;-102,496715;0;-102,496715;0;0;-90,670171;0;-102,496715;0;0
19/08/06;0;0;0;0;0;0;0;0;0;0
20/08/06;0;0;0;0;0;0;0;0;0;0
21/08/06;-134,104654;0;-134,104654;0;0;-110,439127;0;-134,104654;0;0
22/08/06;7,865758;0;7,865758;0;0;19,664394;0;7,865758;0;0
23/08/06;74,490329;0;74,490329;0;0;82,331417;0;74,490329;0;0
24/08/06;3,93391;0;3,93391;0;0;11,801731;0;3,93391;0;0
25/08/06;95,570912;1;95,570912;1;0;96,812697;1;95,570912;1;0
26/08/06;0;0;0;0;0;0;0;0;0;0
27/08/06;0;0;0;0;0;0;0;0;0;0
28/08/06;-11,867089;0;-11,867089;0;0;-31,64557;0;-11,867089;0;0
29/08/06;59,008655;0;59,008655;0;0;90,479937;0;59,008655;0;0
30/08/06;-19,633508;0;-19,633508;0;0;3,926702;0;-19,633508;0;0
31/08/06;3,930818;0;3,930818;0;0;11,792453;0;3,930818;0;0
01/09/06;-74,539035;0;-74,539035;0;0;-82,385249;0;-74,539035;0;0
02/09/06;0;0;0;0;0;0;0;0;0;0
03/09/06;0;0;0;0;0;0;0;0;0;0
04/09/06;-19,455253;0;-19,455253;0;0;-7,782101;0;-19,455253;0;0
05/09/06;-38,986355;0;-38,986355;0;0;-74,074074;0;-38,986355;0;0
06/09/06;131,108702;1;131,108702;1;0;-117,050332;0;131,108702;1;0
07/09/06;142,047246;1;142,047246;1;0;155,797461;1;142,047246;1;0
08/09/06;-126,732673;0;-126,732673;0;0;-134,653465;0;-126,732673;0;0
09/09/06;0;0;0;0;0;0;0;0;0;0
10/09/06;0;0;0;0;0;0;0;0;0;0
11/09/06;115,601721;1;115,601721;1;0;7,980846;0;115,601721;1;0
12/09/06;-7,971303;0;-7,971303;0;0;43,842168;0;-7,971303;0;0
13/09/06;99,800399;0;99,800399;0;0;-55,888224;0;99,800399;0;0
14/09/06;-119,680851;0;-119,680851;0;0;-107,712766;0;-119,680851;0;0
15/09/06;167,281625;1;167,281625;1;0;179,16438;1;167,281625;1;0
16/09/06;0;0;0;0;0;0;0;0;0;0
17/09/06;0;0;0;0;0;0;0;0;0;0
18/09/06;-11,94426;0;-11,94426;0;0;-35,83278;0;-11,94426;0;0
19/09/06;71,456927;0;71,456927;0;0;146,220139;1;71,456927;0;0
20/09/06;71,74173;0;71,74173;0;0;-39,856517;0;71,74173;0;0
21/09/06;-31,762837;0;-31,762837;0;0;-55,584966;0;-31,762837;0;0
22/09/06;152,486111;1;152,486111;1;0;165,246463;1;152,486111;1;0
23/09/06;0;0;0;0;0;0;0;0;0;0
24/09/06;0;0;0;0;0;0;0;0;0;0
25/09/06;63,702721;0;63,702721;0;0;43,79562;0;63,702721;0;0
26/09/06;127,202862;0;127,202862;0;0;67,57652;0;127,202862;0;0
27/09/06;63,889259;0;63,889259;0;0;-43,923865;0;63,889259;0;0
28/09/06;47,993601;0;47,993601;0;0;51,993068;0;47,993601;0;0
29/09/06;163,543635;1;163,543635;1;0;160,349702;1;163,543635;1;0
30/09/06;0;0;0;0;0;0;0;0;0;0
31/9/2006;0;0;0;0;0;0;0;0;0;0
01/10/06;0;0;0;0;0;0;0;0;0;0
02/10/06;-128,824477;0;-128,824477;0;0;-152,979066;0;-128,824477;0;0
03/10/06;177,507246;1;177,507246;1;0;177,471786;1;177,507246;1;0
04/10/06;48,315662;0;48,315662;0;0;44,289357;0;48,315662;0;0
05/10/06;60,273239;0;60,273239;0;0;44,200375;0;60,273239;0;0
06/10/06;72,444325;0;72,444325;0;0;92,567749;0;72,444325;0;0
07/10/06;0;0;0;0;0;0;0;0;0;0
08/10/06;0;0;0;0;0;0;0;0;0;0
09/10/06;36,334275;0;36,334275;0;0;72,668551;0;36,334275;0;0
10/10/06;36,231884;0;36,231884;0;0;20,128824;0;36,231884;0;0
11/10/06;-52,468721;0;-52,468721;0;0;-48,432665;0;-52,468721;0;0
12/10/06;-116,325712;0;-116,325712;0;0;-108,303249;0;-116,325712;0;0
13/10/06;35,923363;0;35,923363;0;0;23,948909;0;35,923363;0;0
14/10/06;0;0;0;0;0;0;0;0;0;0
15/10/06;0;0;0;0;0;0;0;0;0;0
16/10/06;88,593121;1;88,593121;1;0;87,119579;1;88,593121;1;0
17/10/06;23,847377;0;23,847377;0;0;31,796502;0;23,847377;0;0
18/10/06;39,740363;0;39,740363;0;0;23,844218;0;39,740363;0;0
19/10/06;-95,200317;0;-95,200317;0;0;-95,200317;0;-95,200317;0;0
20/10/06;74,980268;0;74,980268;0;0;63,141279;0;74,980268;0;0
21/10/06;0;0;0;0;0;0;0;0;0;0
22/10/06;0;0;0;0;0;0;0;0;0;0
23/10/06;133,302436;1;133,302436;1;0;140,176697;1;133,302436;1;0
24/10/06;-39,598733;0;-39,598733;0;0;-35,63886;0;-39,598733;0;0
25/10/06;35,465651;0;35,465651;0;0;39,406279;0;35,465651;0;0
26/10/06;51,073861;0;51,073861;0;0;-31,430068;0;51,073861;0;0
27/10/06;-212,236342;0;-240;0;1;-231,887855;0;-240;0;1
28/10/06;0;0;0;0;0;0;0;0;0;0
29/10/06;0;0;0;0;0;0;0;0;0;0
30/10/06;-23,407022;0;-23,407022;0;0;-42,912874;0;-23,407022;0;0
31/10/06;-249,739854;0;-240;0;1;-222,424558;0;-240;0;1
01/11/06;-19,377341;0;-19,377341;0;0;-69,758429;0;-19,377341;0;0
02/11/06;78,607923;1;78,607923;1;0;84,063152;1;78,607923;1;0
03/11/06;134,251644;1;134,251644;1;0;141,582474;1;134,251644;1;0
04/11/06;0;0;0;0;0;0;0;0;0;0
05/11/06;0;0;0;0;0;0;0;0;0;0
06/11/06;85,014916;1;85,014916;1;0;88,541524;1;85,014916;1;0
07/11/06;-96,949328;0;-96,949328;0;0;-73,681489;0;-96,949328;0;0
08/11/06;27,272727;0;27,272727;0;0;42,857143;0;27,272727;0;0
09/11/06;27,34375;0;27,34375;0;0;31,25;0;27,34375;0;0
10/11/06;-23,468057;0;-23,468057;0;0;-23,468057;0;-23,468057;0;0
11/11/06;0;0;0;0;0;0;0;0;0;0
12/11/06;0;0;0;0;0;0;0;0;0;0
13/11/06;-125,293657;0;-125,293657;0;0;-144,870791;0;-125,293657;0;0
14/11/06;-7,838014;0;-7,838014;0;0;7,838014;0;-7,838014;0;0
15/11/06;23,526336;0;23,526336;0;0;0;0;23,526336;0;0
16/11/06;-93,994778;0;-93,994778;0;0;-39,164491;0;-93,994778;0;0
17/11/06;-78,247261;0;-78,247261;0;0;-89,984351;0;-78,247261;0;0
18/11/06;0;0;0;0;0;0;0;0;0;0
19/11/06;0;0;0;0;0;0;0;0;0;0
