tpa = 144;tpv=254;;;;;;;;;
;;;;;;;;;;
dP = 115;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl (210);isTp;isSl;gain heure (22h);isTp;gain heure SL (22h)(220);isTp;isSl
13/05/06;0;0;0;0;0;0;0;0;0;0
14/05/06;0;0;0;0;0;0;0;0;0;0
15/05/06;114,339311;1;114,339311;1;0;114,717581;1;114,717581;1;0
16/05/06;103,05945;1;103,05945;1;0;101,277563;1;101,277563;1;0
17/05/06;89,124363;1;89,124363;1;0;100,451282;1;100,451282;1;0
18/05/06;105,307365;1;105,307365;1;0;121,581226;1;121,581226;1;0
19/05/06;-129,890956;0;-129,890956;0;0;-144,323284;0;-144,323284;0;0
20/05/06;0;0;0;0;0;0;0;0;0;0
21/05/06;0;0;0;0;0;0;0;0;0;0
22/05/06;94,887939;1;94,887939;1;0;109,328317;1;109,328317;1;0
23/05/06;89,526875;1;89,526875;1;0;124,362086;1;124,362086;1;0
24/05/06;90,728243;1;90,728243;1;0;131,490462;1;131,490462;1;0
25/05/06;-47,088369;0;-47,088369;0;0;138,309584;1;138,309584;1;0
26/05/06;87,608836;1;87,608836;1;0;-136,599152;0;-136,599152;0;0
27/05/06;0;0;0;0;0;0;0;0;0;0
28/05/06;0;0;0;0;0;0;0;0;0;0
29/05/06;-47,251536;0;-47,251536;0;0;-18,900614;0;-18,900614;0;0
30/05/06;77,135197;1;77,135197;1;0;109,552669;1;109,552669;1;0
31/05/06;-266,18929;0;-266,18929;0;0;-294,209215;0;-294,209215;0;0
01/06/06;70,482763;1;70,482763;1;0;77,044425;1;77,044425;1;0
02/06/06;64,665726;1;64,665726;1;0;66,713228;1;66,713228;1;0
03/06/06;0;0;0;0;0;0;0;0;0;0
04/06/06;0;0;0;0;0;0;0;0;0;0
05/06/06;0;0;0;0;0;70,435082;1;70,435082;1;0
06/06/06;-151,922773;0;-151,922773;0;0;-208,893812;0;-208,893812;0;0
07/06/06;74,322971;1;74,322971;1;0;84,168652;1;84,168652;1;0
08/06/06;76,739079;1;76,739079;1;0;84,894425;1;84,894425;1;0
09/06/06;75,751184;1;75,751184;1;0;86,171618;1;86,171618;1;0
10/06/06;0;0;0;0;0;0;0;0;0;0
11/06/06;0;0;0;0;0;0;0;0;0;0
12/06/06;-118,483412;0;-118,483412;0;0;-180,094787;0;-180,094787;0;0
13/06/06;82,094666;1;82,094666;1;0;91,653692;1;91,653692;1;0
14/06/06;79,528734;1;79,528734;1;0;81,810776;1;81,810776;1;0
15/06/06;-57,794188;0;-57,794188;0;0;-19,264729;0;-19,264729;0;0
16/06/06;-336,430631;0;-336,430631;0;0;-302,787568;0;-302,787568;0;0
17/06/06;0;0;0;0;0;0;0;0;0;0
18/06/06;0;0;0;0;0;0;0;0;0;0
19/06/06;29,187611;0;29,187611;0;0;4,864602;0;4,864602;0;0
20/06/06;65,926973;1;65,926973;1;0;67,912715;1;67,912715;1;0
21/06/06;-48,316959;0;-48,316959;0;0;24,15848;0;24,15848;0;0
22/06/06;-224,17154;0;-224,17154;0;0;-277,777778;0;-277,777778;0;0
23/06/06;-206,320616;0;-206,320616;0;0;-122,80989;0;-122,80989;0;0
24/06/06;0;0;0;0;0;0;0;0;0;0
25/06/06;0;0;0;0;0;0;0;0;0;0
26/06/06;-123,701138;0;-123,701138;0;0;-84,116774;0;-84,116774;0;0
27/06/06;-34,590677;0;-34,590677;0;0;-39,532202;0;-39,532202;0;0
28/06/06;-25,134048;0;-25,134048;0;0;0;0;0;0;0
29/06/06;87,436551;1;87,436551;1;0;84,887905;1;84,887905;1;0
30/06/06;139,093975;1;139,093975;1;0;161,554813;1;161,554813;1;0
31/6/2006;0;0;0;0;0;0;0;0;0;0
01/07/06;0;0;0;0;0;0;0;0;0;0
02/07/06;0;0;0;0;0;0;0;0;0;0
03/07/06;-127,847894;0;-127,847894;0;0;-177,020161;0;-177,020161;0;0
04/07/06;78,548471;1;78,548471;1;0;91,17026;1;91,17026;1;0
05/07/06;-246,022634;0;-246,022634;0;0;-221,420371;0;-221,420371;0;0
06/07/06;-49,54583;0;-49,54583;0;0;-24,772915;0;-24,772915;0;0
07/07/06;75,430566;1;75,430566;1;0;77,728861;1;77,728861;1;0
08/07/06;0;0;0;0;0;0;0;0;0;0
09/07/06;0;0;0;0;0;0;0;0;0;0
10/07/06;83,091235;1;83,091235;1;0;86,671912;1;86,671912;1;0
11/07/06;85,83416;1;85,83416;1;0;86,68471;1;86,68471;1;0
12/07/06;-164,808531;0;-164,808531;0;0;-140,571983;0;-140,571983;0;0
13/07/06;91,881037;1;91,881037;1;0;98,405906;1;98,405906;1;0
14/07/06;92,856232;1;92,856232;1;0;99,616292;1;99,616292;1;0
15/07/06;0;0;0;0;0;0;0;0;0;0
16/07/06;0;0;0;0;0;0;0;0;0;0
17/07/06;14,464802;0;14,464802;0;0;-33,751205;0;-33,751205;0;0
18/07/06;72,539286;1;72,539286;1;0;79,931913;1;79,931913;1;0
19/07/06;-28,864657;0;-28,864657;0;0;72,516558;1;72,516558;1;0
20/07/06;9,630819;0;9,630819;0;0;-19,261637;0;-19,261637;0;0
21/07/06;66,354688;1;66,354688;1;0;75,473485;1;75,473485;1;0
22/07/06;0;0;0;0;0;0;0;0;0;0
23/07/06;0;0;0;0;0;0;0;0;0;0
24/07/06;63,654593;1;63,654593;1;0;71,074342;1;71,074342;1;0
25/07/06;67,329775;1;67,329775;1;0;77,582689;1;77,582689;1;0
26/07/06;68,458941;1;68,458941;1;0;80,971446;1;80,971446;1;0
27/07/06;62,044569;1;62,044569;1;0;74,511718;1;74,511718;1;0
28/07/06;-48,51229;0;-48,51229;0;0;-43,661061;0;-43,661061;0;0
29/07/06;0;0;0;0;0;0;0;0;0;0
30/07/06;0;0;0;0;0;0;0;0;0;0
31/07/06;-130,708407;0;-130,708407;0;0;-87,138938;0;-87,138938;0;0
01/08/06;60,487595;1;60,487595;1;0;72,904453;1;72,904453;1;0
02/08/06;58,781415;1;58,781415;1;0;73,372446;1;73,372446;1;0
03/08/06;-202,214733;0;-202,214733;0;0;-197,400096;0;-197,400096;0;0
04/08/06;67,527482;1;67,527482;1;0;80,692884;1;80,692884;1;0
05/08/06;0;0;0;0;0;0;0;0;0;0
06/08/06;0;0;0;0;0;0;0;0;0;0
07/08/06;-119,693584;0;-119,693584;0;0;-134,056815;0;-134,056815;0;0
08/08/06;65,868988;1;65,868988;1;0;83,602759;1;83,602759;1;0
09/08/06;68,213613;1;68,213613;1;0;76,683086;1;76,683086;1;0
10/08/06;63,58086;1;63,58086;1;0;65,422866;1;65,422866;1;0
11/08/06;61,730196;1;61,730196;1;0;61,689046;1;61,689046;1;0
12/08/06;0;0;0;0;0;0;0;0;0;0
13/08/06;0;0;0;0;0;0;0;0;0;0
14/08/06;-202,830189;0;-202,830189;0;0;-377,358491;0;-377,358491;0;0
15/08/06;66,620456;1;66,620456;1;0;67,518289;1;67,518289;1;0
16/08/06;73,215341;1;73,215341;1;0;71,12051;1;71,12051;1;0
17/08/06;4,672897;0;4,672897;0;0;-121,495327;0;-121,495327;0;0
18/08/06;78,975894;1;78,975894;1;0;86,501743;1;86,501743;1;0
19/08/06;0;0;0;0;0;0;0;0;0;0
20/08/06;0;0;0;0;0;0;0;0;0;0
21/08/06;82,674701;1;82,674701;1;0;90,057409;1;90,057409;1;0
