tpa = 304;tpv=362;;;;;;;;;
;;;;;;;;;;
dP = -112;sl=10;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl;isTp;isSl;gain heure (19h);isTp;gain heure SL (18h);isTp;isSl
04/06/06;0;0;0;0;0;0;0;0;0;0
05/06/06;-9,267841;0;-30;0;1;-37,071362;0;-30;0;1
06/06/06;145,970928;1;145,970928;1;0;154,850266;1;145,970928;1;0
07/06/06;-37,532254;0;-30;0;1;-28,149191;0;-30;0;1
08/06/06;164,037791;1;164,037791;1;0;169,032935;1;164,037791;1;0
09/06/06;18,975332;0;-30;0;1;2,371917;0;-30;0;1
10/06/06;0;0;0;0;0;0;0;0;0;0
11/06/06;0;0;0;0;0;0;0;0;0;0
12/06/06;104,488245;0;104,488245;0;0;92,614581;0;104,488245;0;0
13/06/06;-23,870146;0;-30;0;1;-4,774029;0;-30;0;1
14/06/06;-123,986648;0;-30;0;1;-114,449213;0;-30;0;1
15/06/06;21,384445;0;-30;0;1;23,760494;0;-30;0;1
16/06/06;78,217587;0;-30;0;1;71,106897;0;-30;0;1
17/06/06;0;0;0;0;0;0;0;0;0;0
18/06/06;0;0;0;0;0;0;0;0;0;0
19/06/06;119,098033;1;119,098033;1;0;119,227133;1;119,098033;1;0
20/06/06;115,216301;1;115,216301;1;0;115,206412;1;115,216301;1;0
21/06/06;-102,2187;0;-30;0;1;-104,59588;0;-30;0;1
22/06/06;101,73889;1;101,73889;1;0;107,761951;1;101,73889;1;0
23/06/06;117,511545;1;117,511545;1;0;125,497944;1;117,511545;1;0
24/06/06;0;0;0;0;0;0;0;0;0;0
25/06/06;0;0;0;0;0;0;0;0;0;0
26/06/06;-69,449988;0;-30;0;1;-100,582741;0;-30;0;1
27/06/06;35,708618;0;-30;0;1;19,044596;0;-30;0;1
28/06/06;113,424592;1;113,424592;1;0;120,690448;1;113,424592;1;0
29/06/06;26,307398;0;26,307398;0;0;9,566327;0;26,307398;0;0
30/06/06;-179,471033;0;-30;0;1;-191,278338;0;-30;0;1
31/6/2006;0;0;0;0;0;0;0;0;0;0
01/07/06;0;0;0;0;0;0;0;0;0;0
02/07/06;0;0;0;0;0;0;0;0;0;0
03/07/06;0;0;-30;0;1;-16,417794;0;-30;0;1
04/07/06;49,153468;0;49,153468;0;0;44,472185;0;49,153468;0;0
05/07/06;97,202251;1;-30;0;1;98,23767;1;-30;0;1
06/07/06;-40,031397;0;-30;0;1;-49,450549;0;-30;0;1
07/07/06;-98,599264;0;-30;0;1;-107,989671;0;-30;0;1
08/07/06;0;0;0;0;0;0;0;0;0;0
09/07/06;0;0;0;0;0;0;0;0;0;0
10/07/06;117,893602;1;-30;0;1;117,263486;1;-30;0;1
11/07/06;-108,584468;0;-30;0;1;-89,700212;0;-30;0;1
12/07/06;129,046941;1;129,046941;1;0;128,736071;1;129,046941;1;0
13/07/06;96,728531;0;-30;0;1;80,213904;0;-30;0;1
14/07/06;45,016585;0;-30;0;1;42,647291;0;-30;0;1
15/07/06;0;0;0;0;0;0;0;0;0;0
16/07/06;0;0;0;0;0;0;0;0;0;0
17/07/06;130,778445;1;130,778445;1;0;135,285635;1;130,778445;1;0
18/07/06;135,92473;1;-30;0;1;141,328225;1;-30;0;1
19/07/06;-143,965448;0;-30;0;1;-213,548748;0;-30;0;1
20/07/06;-109,497739;0;-30;0;1;-69,031183;0;-30;0;1
21/07/06;-87,76785;0;-30;0;1;-85,395746;0;-30;0;1
22/07/06;0;0;0;0;0;0;0;0;0;0
23/07/06;0;0;0;0;0;0;0;0;0;0
24/07/06;9,497428;0;9,497428;0;0;4,748714;0;9,497428;0;0
25/07/06;121,788045;1;121,788045;1;0;121,349324;1;121,788045;1;0
26/07/06;-112,055949;0;-30;0;1;-181,196853;0;-30;0;1
27/07/06;-4,712906;0;-30;0;1;21,208075;0;-30;0;1
28/07/06;-144,196675;0;-30;0;1;-134,741155;0;-30;0;1
29/07/06;0;0;0;0;0;0;0;0;0;0
30/07/06;0;0;0;0;0;0;0;0;0;0
31/07/06;-16,46026;0;-30;0;1;-18,811726;0;-30;0;1
01/08/06;-106,023718;0;-30;0;1;-200,267023;0;-30;0;1
02/08/06;53,813758;0;53,813758;0;0;56,153486;0;53,813758;0;0
03/08/06;-28,191073;0;-30;0;1;-77,52545;0;-30;0;1
04/08/06;-234,484915;0;-30;0;1;-234,484915;0;-30;0;1
05/08/06;0;0;0;0;0;0;0;0;0;0
06/08/06;0;0;0;0;0;0;0;0;0;0
07/08/06;11,656823;0;-30;0;1;30,30774;0;-30;0;1
08/08/06;-16,365337;0;-30;0;1;-16,365337;0;-30;0;1
09/08/06;-121,542657;0;-30;0;1;-123,880016;0;-30;0;1
10/08/06;79,965046;1;-30;0;1;83,82162;1;-30;0;1
11/08/06;91,431741;1;-30;0;1;95,699433;1;-30;0;1
12/08/06;0;0;0;0;0;0;0;0;0;0
13/08/06;0;0;0;0;0;0;0;0;0;0
14/08/06;90,164166;1;90,164166;1;0;93,24978;1;90,164166;1;0
15/08/06;-160,377358;0;-30;0;1;-167,45283;0;-30;0;1
16/08/06;-178,306092;0;-30;0;1;-164,229295;0;-30;0;1
17/08/06;-21,006769;0;-30;0;1;18,672683;0;-30;0;1
18/08/06;114,201549;1;114,201549;1;0;117,932528;1;114,201549;1;0
19/08/06;0;0;0;0;0;0;0;0;0;0
20/08/06;0;0;0;0;0;0;0;0;0;0
21/08/06;-60,526112;0;-30;0;1;-48,886475;0;-30;0;1
22/08/06;116,133332;1;116,133332;1;0;118,393142;1;116,133332;1;0
23/08/06;32,786885;0;-30;0;1;60,88993;0;-30;0;1
24/08/06;35,216779;0;-30;0;1;14,086712;0;-30;0;1
25/08/06;-23,516501;0;-30;0;1;0;0;-30;0;1
26/08/06;0;0;0;0;0;0;0;0;0;0
27/08/06;0;0;0;0;0;0;0;0;0;0
28/08/06;32,817628;0;-30;0;1;9,376465;0;-30;0;1
29/08/06;111,241446;1;111,241446;1;0;116,054187;1;111,241446;1;0
30/08/06;39,71344;0;39,71344;0;0;44,38561;0;39,71344;0;0
31/08/06;95,53932;1;-30;0;1;96,851207;1;-30;0;1
01/09/06;96,554924;1;-30;0;1;98,612343;1;-30;0;1
02/09/06;0;0;0;0;0;0;0;0;0;0
03/09/06;0;0;0;0;0;0;0;0;0;0
04/09/06;-32,677196;0;-30;0;1;-42,013538;0;-30;0;1
05/09/06;58,420315;0;58,420315;0;0;49,073064;0;58,420315;0;0
06/09/06;86,161773;1;-30;0;1;86,146151;1;-30;0;1
07/09/06;101,144944;1;-30;0;1;101,825349;1;-30;0;1
08/09/06;113,567599;1;113,567599;1;0;113,467498;1;113,567599;1;0
09/09/06;0;0;0;0;0;0;0;0;0;0
10/09/06;0;0;0;0;0;0;0;0;0;0
11/09/06;-35,472174;0;-30;0;1;-40,201797;0;-30;0;1
12/09/06;61,325576;0;-30;0;1;77,836308;0;-30;0;1
13/09/06;-35,438652;0;-30;0;1;-7,08773;0;-30;0;1
14/09/06;-118,221942;0;-30;0;1;-118,221942;0;-30;0;1
15/09/06;114,366168;1;114,366168;1;0;121,284681;1;114,366168;1;0
16/09/06;0;0;0;0;0;0;0;0;0;0
17/09/06;0;0;0;0;0;0;0;0;0;0
18/09/06;21,288339;0;-30;0;1;-16,557597;0;-30;0;1
19/09/06;103,314597;1;103,314597;1;0;113,164265;1;103,314597;1;0
20/09/06;-59,162262;0;-30;0;1;-56,795772;0;-30;0;1
21/09/06;-68,450039;0;-30;0;1;-160,503541;0;-30;0;1
22/09/06;7,03125;0;-30;0;1;-4,6875;0;-30;0;1
23/09/06;0;0;0;0;0;0;0;0;0;0
24/09/06;0;0;0;0;0;0;0;0;0;0
25/09/06;85,687166;1;85,687166;1;0;107,174418;1;85,687166;1;0
26/09/06;94,246611;1;-30;0;1;118,894153;1;-30;0;1
27/09/06;-35,47497;0;-30;0;1;-54,394955;0;-30;0;1
28/09/06;87,971791;1;87,971791;1;0;47,154983;0;87,971791;1;0
29/09/06;92,48729;1;92,48729;1;0;99,507718;1;92,48729;1;0
30/09/06;0;0;0;0;0;0;0;0;0;0
31/9/2006;0;0;0;0;0;0;0;0;0;0
01/10/06;0;0;0;0;0;0;0;0;0;0
02/10/06;-172,767435;0;-30;0;1;-182,234143;0;-30;0;1
03/10/06;61,152489;0;61,152489;0;0;61,152489;0;61,152489;0;0
04/10/06;85,470362;1;85,470362;1;0;90,24854;1;85,470362;1;0
05/10/06;54,279421;0;-30;0;1;47,199497;0;-30;0;1
06/10/06;101,270978;1;-30;0;1;106,209839;1;-30;0;1
07/10/06;0;0;0;0;0;0;0;0;0;0
08/10/06;0;0;0;0;0;0;0;0;0;0
09/10/06;-16,677255;0;-30;0;1;-19,05972;0;-30;0;1
10/10/06;93,535138;1;93,535138;1;0;95,447051;1;93,535138;1;0
11/10/06;-28,717294;0;-30;0;1;-40,682833;0;-30;0;1
12/10/06;-4,786216;0;-30;0;1;-11,965539;0;-30;0;1
13/10/06;69,62562;1;69,62562;1;0;69,31995;1;69,62562;1;0
14/10/06;0;0;0;0;0;0;0;0;0;0
15/10/06;0;0;0;0;0;0;0;0;0;0
16/10/06;-16,782546;0;-30;0;1;-21,577559;0;-30;0;1
17/10/06;-71,804691;0;-30;0;1;-62,230732;0;-30;0;1
18/10/06;73,14057;1;73,14057;1;0;75,362789;1;73,14057;1;0
19/10/06;-121,960941;0;-30;0;1;-155,440415;0;-30;0;1
20/10/06;35,632275;0;35,632275;0;0;26,130335;0;35,632275;0;0
21/10/06;0;0;0;0;0;0;0;0;0;0
22/10/06;0;0;0;0;0;0;0;0;0;0
23/10/06;91,573093;1;91,573093;1;0;94,436462;1;91,573093;1;0
24/10/06;-71,793235;0;-30;0;1;-88,54499;0;-30;0;1
25/10/06;-64,469914;0;-30;0;1;-57,30659;0;-30;0;1
26/10/06;-54,562708;0;-30;0;1;-125,731457;0;-30;0;1
27/10/06;-111,21628;0;-30;0;1;-132,513015;0;-30;0;1
28/10/06;0;0;0;0;0;0;0;0;0;0
29/10/06;0;0;0;0;0;0;0;0;0;0
30/10/06;7,072692;0;7,072692;0;0;-2,357564;0;7,072692;0;0
31/10/06;-174,844451;0;-30;0;1;-155,942349;0;-30;0;1
01/11/06;-21,163192;0;-30;0;1;-32,92052;0;-30;0;1
02/11/06;-30,569055;0;-30;0;1;-61,138109;0;-30;0;1
03/11/06;70,086399;1;70,086399;1;0;74,598016;1;70,086399;1;0
04/11/06;0;0;0;0;0;0;0;0;0;0
05/11/06;0;0;0;0;0;0;0;0;0;0
06/11/06;-11,80266;0;-11,80266;0;0;-35,407979;0;-11,80266;0;0
07/11/06;-110,510228;0;-30;0;1;-119,915354;0;-30;0;1
08/11/06;-4,697041;0;-30;0;1;9,394082;0;-30;0;1
09/11/06;-112,631991;0;-30;0;1;-119,67149;0;-30;0;1
10/11/06;-4,665993;0;-30;0;1;4,665993;0;-30;0;1
11/11/06;0;0;0;0;0;0;0;0;0;0
12/11/06;0;0;0;0;0;0;0;0;0;0
13/11/06;87,678709;1;87,678709;1;0;94,118413;1;87,678709;1;0
14/11/06;42,085574;0;-30;0;1;25,718962;0;-30;0;1
15/11/06;109,859862;1;109,859862;1;0;16,375546;0;109,859862;1;0
16/11/06;30,416472;0;-30;0;1;63,172672;0;-30;0;1
17/11/06;-115,050481;0;-30;0;1;-115,050481;0;-30;0;1
18/11/06;0;0;0;0;0;0;0;0;0;0
19/11/06;0;0;0;0;0;0;0;0;0;0
20/11/06;60,766594;0;-30;0;1;46,743534;0;-30;0;1
21/11/06;4,677998;0;4,677998;0;0;4,677998;0;4,677998;0;0
22/11/06;-144,522145;0;-30;0;1;-139,86014;0;-30;0;1
23/11/06;-25,498377;0;-30;0;1;-25,498377;0;-30;0;1
24/11/06;-258,99946;0;-30;0;1;-265,936946;0;-30;0;1
25/11/06;0;0;0;0;0;0;0;0;0;0
26/11/06;0;0;0;0;0;0;0;0;0;0
27/11/06;85,530088;1;85,530088;1;0;88,699308;1;85,530088;1;0
28/11/06;-50,228311;0;-30;0;1;-41,09589;0;-30;0;1
29/11/06;81,181869;1;81,181869;1;0;80,068158;1;81,181869;1;0
30/11/06;-170,596709;0;-30;0;1;-152,399727;0;-30;0;1
31/11/2006;0;0;0;0;0;0;0;0;0;0
01/12/06;84,39516;1;84,39516;1;0;84,387966;1;84,39516;1;0
02/12/06;0;0;0;0;0;0;0;0;0;0
03/12/06;0;0;0;0;0;0;0;0;0;0
04/12/06;-38,314176;0;-30;0;1;-33,806626;0;-30;0;1
05/12/06;-24,78594;0;-30;0;1;-24,78594;0;-30;0;1
06/12/06;99,774663;1;99,774663;1;0;101,397548;1;99,774663;1;0
07/12/06;58,545373;0;58,545373;0;0;65,300608;0;58,545373;0;0
08/12/06;100,5337;1;-30;0;1;101,429102;1;-30;0;1
09/12/06;0;0;0;0;0;0;0;0;0;0
10/12/06;0;0;0;0;0;0;0;0;0;0
11/12/06;-52,252934;0;-30;0;1;-124,952669;0;-30;0;1
12/12/06;0;0;-30;0;1;-13,600302;0;-30;0;1
13/12/06;98,104579;1;98,104579;1;0;108,890927;1;98,104579;1;0
14/12/06;101,6336;1;-30;0;1;115,0665;1;-30;0;1
15/12/06;120,612757;1;120,612757;1;0;138,217059;1;120,612757;1;0
16/12/06;0;0;0;0;0;0;0;0;0;0
17/12/06;0;0;0;0;0;0;0;0;0;0
18/12/06;52,679798;0;-30;0;1;45,80852;0;-30;0;1
19/12/06;-155,452259;0;-30;0;1;-173,74076;0;-30;0;1
20/12/06;56,77517;0;-30;0;1;97,653293;0;-30;0;1
21/12/06;133,839925;1;133,839925;1;0;93,15359;0;133,839925;1;0
22/12/06;127,864778;1;127,864778;1;0;142,419335;1;127,864778;1;0
23/12/06;0;0;0;0;0;0;0;0;0;0
24/12/06;0;0;0;0;0;0;0;0;0;0
25/12/06;0;0;0;0;0;0;0;0;0;0
26/12/06;4,568992;0;4,568992;0;0;77,67286;0;4,568992;0;0
27/12/06;68,399453;0;-30;0;1;68,399453;0;-30;0;1
28/12/06;-66,265519;0;-30;0;1;-86,83068;0;-30;0;1
29/12/06;-54,653105;0;-30;0;1;-36,435403;0;-30;0;1
30/12/06;0;0;0;0;0;0;0;0;0;0
31/12/06;0;0;0;0;0;0;0;0;0;0
01/01/07;0;0;0;0;0;0;0;0;0;0
02/01/07;-47,493404;0;-30;0;1;-52,016585;0;-30;0;1
03/01/07;70,279133;1;70,279133;1;0;89,24221;1;70,279133;1;0
04/01/07;95,782474;1;95,782474;1;0;111,311;1;95,782474;1;0
05/01/07;99,611062;1;99,611062;1;0;111,46843;1;99,611062;1;0
06/01/07;0;0;0;0;0;0;0;0;0;0
07/01/07;0;0;0;0;0;0;0;0;0;0
08/01/07;-46,139649;0;-30;0;1;-57,674562;0;-30;0;1
09/01/07;107,602324;1;107,602324;1;0;114,100831;1;107,602324;1;0
10/01/07;116,720014;1;116,720014;1;0;123,766599;1;116,720014;1;0
11/01/07;121,577821;1;-30;0;1;127,520488;1;-30;0;1
12/01/07;-27,876723;0;-30;0;1;-23,230602;0;-30;0;1
13/01/07;0;0;0;0;0;0;0;0;0;0
14/01/07;0;0;0;0;0;0;0;0;0;0
15/01/07;30,11583;0;30,11583;0;0;37,065637;0;30,11583;0;0
16/01/07;104,134526;0;-30;0;1;115,81876;1;-30;0;1
17/01/07;-55,710306;0;-30;0;1;-39,461467;0;-30;0;1
18/01/07;102,341669;1;102,341669;1;0;107,044756;1;102,341669;1;0
19/01/07;98,266319;1;98,266319;1;0;100,256494;1;98,266319;1;0
20/01/07;0;0;0;0;0;0;0;0;0;0
21/01/07;0;0;0;0;0;0;0;0;0;0
22/01/07;99,567919;1;99,567919;1;0;101,305308;1;99,567919;1;0
23/01/07;-131,842714;0;-30;0;1;-117,964534;0;-30;0;1
24/01/07;116,07241;1;116,07241;1;0;116,147068;1;116,07241;1;0
25/01/07;11,550012;0;-30;0;1;2,310002;0;-30;0;1
26/01/07;117,874943;1;117,874943;1;0;118,423276;1;117,874943;1;0
27/01/07;0;0;0;0;0;0;0;0;0;0
28/01/07;0;0;0;0;0;0;0;0;0;0
29/01/07;-78,922934;0;-30;0;1;-69,637883;0;-30;0;1
30/01/07;13,887817;0;-30;0;1;-6,943909;0;-30;0;1
31/01/07;-108,846688;0;-30;0;1;-125,057897;0;-30;0;1
01/02/07;4,60688;0;-30;0;1;2,30344;0;-30;0;1
02/02/07;69,780019;1;-30;0;1;77,788804;1;-30;0;1
03/02/07;0;0;0;0;0;0;0;0;0;0
04/02/07;0;0;0;0;0;0;0;0;0;0
05/02/07;76,072452;1;-30;0;1;87,634131;1;-30;0;1
06/02/07;-92,807425;0;-30;0;1;-85,846868;0;-30;0;1
07/02/07;-78,546127;0;-30;0;1;-71,615586;0;-30;0;1
08/02/07;-62,264586;0;-30;0;1;-64,570682;0;-30;0;1
