tpa = 144, tpv=254;;;;;;;;;;
;;;;;;;;;;
dP = 115, sl=220;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl;isTp;isSl;gain heure (19h);isTp;gain heure SL (19h);isTp;isSl
22/03/06;240,324196;1;240,324196;1;0;236,596028;1;0;0;0
23/03/06;-205,315932;0;-205,315932;0;0;-176,667197;0;0;0;0
24/03/06;29,431001;0;29,431001;0;0;-107,913669;0;0;0;0
25/03/06;0;0;0;0;0;0;0;0;0;0
26/03/06;0;0;0;0;0;0;0;0;0;0
27/03/06;-24,719842;0;-24,719842;0;0;-39,551747;0;0;0;0
28/03/06;-343,586387;0;-343,586387;0;0;-269,960733;0;0;0;0
29/03/06;195;0;195;0;0;250;0;0;0;0
30/03/06;192,782996;0;192,782996;0;0;207,612457;0;0;0;0
31/03/06;141,73998;0;141,73998;0;0;141,73998;0;0;0;0
01/04/06;0;0;0;0;0;0;0;0;0;0
02/04/06;0;0;0;0;0;0;0;0;0;0
