tpa = 404;tpv=470;;;;;;;;;
;;;;;;;;;;
dP = -23;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl(40);isTp;isSl;gain heure (18h);isTp;gain heure SL (18h)(40);isTp;isSl
15/03/11;-86,585084;0;-120;0;1;-86,585084;0;-120;0;1
16/03/11;-55,305911;0;-55,305911;0;0;-55,305911;0;-55,305911;0;0
17/03/11;27,617952;0;27,617952;0;0;27,617952;0;27,617952;0;0
18/03/11;-27,526092;0;-120;0;1;-27,526092;0;-120;0;1
19/03/11;0;0;0;0;0;0;0;0;0;0
20/03/11;0;0;0;0;0;0;0;0;0;0
21/03/11;55,020633;0;55,020633;0;0;55,020633;0;55,020633;0;0
22/03/11;115,847162;1;115,847162;1;0;115,847162;1;115,847162;1;0
23/03/11;104,719209;1;104,719209;1;0;104,719209;1;104,719209;1;0
24/03/11;-446,006684;0;-120;0;1;-446,006684;0;-120;0;1
25/03/11;37,542662;0;37,542662;0;0;37,542662;0;37,542662;0;0
26/03/11;0;0;0;0;0;0;0;0;0;0
27/03/11;0;0;0;0;0;0;0;0;0;0
28/03/11;-71,745815;0;-120;0;1;-71,745815;0;-120;0;1
29/03/11;-10,216824;0;-10,216824;0;0;-10,216824;0;-10,216824;0;0
30/03/11;30,755211;0;30,755211;0;0;30,755211;0;30,755211;0;0
31/03/11;-177,534995;0;-120;0;1;-177,534995;0;-120;0;1
01/04/11;34,017462;0;34,017462;0;0;34,017462;0;34,017462;0;0
02/04/11;0;0;0;0;0;0;0;0;0;0
03/04/11;0;0;0;0;0;0;0;0;0;0
04/04/11;-51,142175;0;-51,142175;0;0;-51,142175;0;-51,142175;0;0
05/04/11;131,332908;1;131,332908;1;0;131,332908;1;131,332908;1;0
06/04/11;-164,835165;0;-120;0;1;-164,835165;0;-120;0;1
07/04/11;30,790284;0;30,790284;0;0;30,790284;0;30,790284;0;0
08/04/11;-136,472194;0;-120;0;1;-136,472194;0;-120;0;1
09/04/11;0;0;0;0;0;0;0;0;0;0
10/04/11;0;0;0;0;0;0;0;0;0;0
11/04/11;158,217135;1;158,217135;1;0;158,217135;1;158,217135;1;0
12/04/11;-190,238931;0;-120;0;1;-190,238931;0;-120;0;1
13/04/11;97,533632;0;97,533632;0;0;97,533632;0;97,533632;0;0
14/04/11;-98,039216;0;-120;0;1;-98,039216;0;-120;0;1
15/04/11;30,491248;0;30,491248;0;0;30,491248;0;30,491248;0;0
16/04/11;0;0;0;0;0;0;0;0;0;0
17/04/11;0;0;0;0;0;0;0;0;0;0
18/04/11;211,742809;1;211,742809;1;0;211,742809;1;211,742809;1;0
19/04/11;-41,067762;0;-41,067762;0;0;-41,067762;0;-41,067762;0;0
20/04/11;-112,3468;0;-120;0;1;-112,3468;0;-120;0;1
21/04/11;223,464271;1;223,464271;1;0;223,464271;1;223,464271;1;0
22/04/11;78,160399;0;78,160399;0;0;78,160399;0;78,160399;0;0
23/04/11;0;0;0;0;0;0;0;0;0;0
24/04/11;0;0;0;0;0;0;0;0;0;0
25/04/11;-23,782559;0;-23,782559;0;0;-23,782559;0;-23,782559;0;0
26/04/11;-125,523013;0;-120;0;1;-125,523013;0;-120;0;1
27/04/11;173,135048;1;173,135048;1;0;173,135048;1;173,135048;1;0
28/04/11;-23,651312;0;-23,651312;0;0;-23,651312;0;-23,651312;0;0
29/04/11;121,212121;0;121,212121;0;0;121,212121;0;121,212121;0;0
30/04/11;0;0;0;0;0;0;0;0;0;0
31/4/2011;0;0;0;0;0;0;0;0;0;0
01/05/11;0;0;0;0;0;0;0;0;0;0
02/05/11;-118,323191;0;-120;0;1;-118,323191;0;-120;0;1
03/05/11;-252,270434;0;-120;0;1;-252,270434;0;-120;0;1
04/05/11;6,670372;0;6,670372;0;0;6,670372;0;6,670372;0;0
05/05/11;185,464927;1;-120;0;1;185,464927;1;-120;0;1
06/05/11;-182,391353;0;-120;0;1;-182,391353;0;-120;0;1
07/05/11;0;0;0;0;0;0;0;0;0;0
08/05/11;0;0;0;0;0;0;0;0;0;0
09/05/11;-126,279863;0;-120;0;1;-126,279863;0;-120;0;1
10/05/11;171,624714;0;171,624714;0;0;171,624714;0;171,624714;0;0
11/05/11;241,671002;1;241,671002;1;0;241,671002;1;241,671002;1;0
12/05/11;127,600874;0;127,600874;0;0;127,600874;0;127,600874;0;0
13/05/11;65,068493;0;-120;0;1;65,068493;0;-120;0;1
14/05/11;0;0;0;0;0;0;0;0;0;0
15/05/11;0;0;0;0;0;0;0;0;0;0
16/05/11;113,53211;0;113,53211;0;0;113,53211;0;113,53211;0;0
17/05/11;0;0;0;0;0;0;0;0;0;0
18/05/11;-229,242701;0;-120;0;1;-229,242701;0;-120;0;1
19/05/11;54,384772;0;54,384772;0;0;54,384772;0;54,384772;0;0
20/05/11;204,244317;1;204,244317;1;0;204,244317;1;204,244317;1;0
21/05/11;0;0;0;0;0;0;0;0;0;0
22/05/11;0;0;0;0;0;0;0;0;0;0
23/05/11;96,841134;0;96,841134;0;0;96,841134;0;96,841134;0;0
24/05/11;54,982818;0;54,982818;0;0;54,982818;0;54,982818;0;0
25/05/11;-76,010595;0;-120;0;1;-76,010595;0;-120;0;1
26/05/11;189,585181;1;189,585181;1;0;189,585181;1;189,585181;1;0
27/05/11;10,39021;0;10,39021;0;0;10,39021;0;10,39021;0;0
28/05/11;0;0;0;0;0;0;0;0;0;0
29/05/11;0;0;0;0;0;0;0;0;0;0
30/05/11;-27,700831;0;-27,700831;0;0;-27,700831;0;-27,700831;0;0
31/05/11;-189,89527;0;-120;0;1;-189,89527;0;-120;0;1
01/06/11;-171,291538;0;-120;0;1;-171,291538;0;-120;0;1
02/06/11;-115,895921;0;-120;0;1;-115,895921;0;-120;0;1
03/06/11;-176,23136;0;-120;0;1;-176,23136;0;-120;0;1
04/06/11;0;0;0;0;0;0;0;0;0;0
05/06/11;0;0;0;0;0;0;0;0;0;0
06/06/11;-67,324955;0;-67,324955;0;0;-67,324955;0;-67,324955;0;0
07/06/11;70,438283;0;70,438283;0;0;70,438283;0;70,438283;0;0
08/06/11;77,284946;0;-120;0;1;77,284946;0;-120;0;1
09/06/11;-80,953452;0;-120;0;1;-80,953452;0;-120;0;1
10/06/11;165,41015;0;165,41015;0;0;165,41015;0;165,41015;0;0
11/06/11;0;0;0;0;0;0;0;0;0;0
12/06/11;0;0;0;0;0;0;0;0;0;0
13/06/11;-84,899253;0;-120;0;1;-84,899253;0;-120;0;1
14/06/11;139,931741;0;139,931741;0;0;139,931741;0;139,931741;0;0
15/06/11;-92,097783;0;-92,097783;0;0;-92,097783;0;-92,097783;0;0
16/06/11;140,442904;1;140,442904;1;0;140,442904;1;140,442904;1;0
17/06/11;-215,114956;0;-120;0;1;-215,114956;0;-120;0;1
18/06/11;0;0;0;0;0;0;0;0;0;0
19/06/11;0;0;0;0;0;0;0;0;0;0
20/06/11;-78,311202;0;-78,311202;0;0;-78,311202;0;-78,311202;0;0
21/06/11;-91,597874;0;-91,597874;0;0;-91,597874;0;-91,597874;0;0
22/06/11;-186,041267;0;-120;0;1;-186,041267;0;-120;0;1
23/06/11;134,740624;0;134,740624;0;0;134,740624;0;134,740624;0;0
24/06/11;104,41226;0;104,41226;0;0;104,41226;0;104,41226;0;0
25/06/11;0;0;0;0;0;0;0;0;0;0
26/06/11;0;0;0;0;0;0;0;0;0;0
27/06/11;200,486929;1;200,486929;1;0;200,486929;1;200,486929;1;0
28/06/11;-97,282791;0;-120;0;1;-97,282791;0;-120;0;1
29/06/11;23,367086;0;23,367086;0;0;23,367086;0;23,367086;0;0
30/06/11;-79,893475;0;-120;0;1;-79,893475;0;-120;0;1
31/6/2011;0;0;0;0;0;0;0;0;0;0
01/07/11;36,520584;0;-120;0;1;36,520584;0;-120;0;1
02/07/11;0;0;0;0;0;0;0;0;0;0
03/07/11;0;0;0;0;0;0;0;0;0;0
04/07/11;23,289342;0;23,289342;0;0;23,289342;0;23,289342;0;0
05/07/11;172,394846;1;172,394846;1;0;172,394846;1;172,394846;1;0
06/07/11;136,742635;0;136,742635;0;0;136,742635;0;136,742635;0;0
07/07/11;201,662286;1;201,662286;1;0;201,662286;1;201,662286;1;0
08/07/11;215,802804;1;215,802804;1;0;215,802804;1;215,802804;1;0
09/07/11;0;0;0;0;0;0;0;0;0;0
10/07/11;0;0;0;0;0;0;0;0;0;0
11/07/11;-202,999887;0;-120;0;1;-202,999887;0;-120;0;1
12/07/11;17,074559;0;-120;0;1;17,074559;0;-120;0;1
13/07/11;-37,576862;0;-120;0;1;-37,576862;0;-120;0;1
14/07/11;3,411029;0;3,411029;0;0;3,411029;0;3,411029;0;0
15/07/11;41,100582;0;41,100582;0;0;41,100582;0;41,100582;0;0
16/07/11;0;0;0;0;0;0;0;0;0;0
17/07/11;0;0;0;0;0;0;0;0;0;0
18/07/11;151,393508;0;151,393508;0;0;151,393508;0;151,393508;0;0
19/07/11;44,398907;0;44,398907;0;0;44,398907;0;44,398907;0;0
20/07/11;30,678332;0;30,678332;0;0;30,678332;0;30,678332;0;0
21/07/11;169,438263;1;169,438263;1;0;169,438263;1;169,438263;1;0
22/07/11;122,185768;0;122,185768;0;0;122,185768;0;122,185768;0;0
23/07/11;0;0;0;0;0;0;0;0;0;0
24/07/11;0;0;0;0;0;0;0;0;0;0
25/07/11;-30,660913;0;-120;0;1;-30,660913;0;-120;0;1
26/07/11;170,602213;1;170,602213;1;0;170,602213;1;170,602213;1;0
27/07/11;156,285391;0;156,285391;0;0;156,285391;0;156,285391;0;0
28/07/11;136,487716;0;136,487716;0;0;136,487716;0;136,487716;0;0
29/07/11;3,430924;0;-120;0;1;3,430924;0;-120;0;1
30/07/11;0;0;0;0;0;0;0;0;0;0
31/07/11;0;0;0;0;0;0;0;0;0;0
01/08/11;119,808307;0;-120;0;1;119,808307;0;-120;0;1
02/08/11;75,722809;0;75,722809;0;0;75,722809;0;75,722809;0;0
03/08/11;-6,878368;0;-6,878368;0;0;-6,878368;0;-6,878368;0;0
04/08/11;229,833349;1;229,833349;1;0;229,833349;1;229,833349;1;0
05/08/11;-13,868023;0;-13,868023;0;0;-13,868023;0;-13,868023;0;0
06/08/11;0;0;0;0;0;0;0;0;0;0
07/08/11;0;0;0;0;0;0;0;0;0;0
08/08/11;240,262362;1;240,262362;1;0;240,262362;1;240,262362;1;0
09/08/11;-254,587156;0;-120;0;1;-254,587156;0;-120;0;1
10/08/11;139,519056;0;-120;0;1;139,519056;0;-120;0;1
11/08/11;132,879046;0;132,879046;0;0;132,879046;0;132,879046;0;0
12/08/11;54,800776;0;54,800776;0;0;54,800776;0;54,800776;0;0
13/08/11;0;0;0;0;0;0;0;0;0;0
14/08/11;0;0;0;0;0;0;0;0;0;0
15/08/11;-102,412381;0;-120;0;1;-102,412381;0;-120;0;1
16/08/11;74,974441;0;74,974441;0;0;74,974441;0;74,974441;0;0
17/08/11;-150,926138;0;-120;0;1;-150,926138;0;-120;0;1
18/08/11;113,558156;0;113,558156;0;0;113,558156;0;113,558156;0;0
19/08/11;124,553108;0;124,553108;0;0;124,553108;0;124,553108;0;0
20/08/11;0;0;0;0;0;0;0;0;0;0
21/08/11;0;0;0;0;0;0;0;0;0;0
22/08/11;-155,22594;0;-120;0;1;-155,22594;0;-120;0;1
23/08/11;-37,813682;0;-120;0;1;-37,813682;0;-120;0;1
24/08/11;-192,285682;0;-120;0;1;-192,285682;0;-120;0;1
25/08/11;-85,207907;0;-85,207907;0;0;-85,207907;0;-85,207907;0;0
26/08/11;-47,484454;0;-47,484454;0;0;-47,484454;0;-47,484454;0;0
27/08/11;0;0;0;0;0;0;0;0;0;0
28/08/11;0;0;0;0;0;0;0;0;0;0
29/08/11;84,535618;0;84,535618;0;0;84,535618;0;84,535618;0;0
30/08/11;-74,626866;0;-74,626866;0;0;-74,626866;0;-74,626866;0;0
31/08/11;-30,525721;0;-120;0;1;-30,525721;0;-120;0;1
01/09/11;135,461923;1;135,461923;1;0;135,461923;1;135,461923;1;0
02/09/11;-71,656051;0;-71,656051;0;0;-71,656051;0;-71,656051;0;0
03/09/11;0;0;0;0;0;0;0;0;0;0
04/09/11;0;0;0;0;0;0;0;0;0;0
05/09/11;117,111653;1;117,111653;1;0;117,111653;1;117,111653;1;0
06/09/11;-92,613766;0;-120;0;1;-92,613766;0;-120;0;1
07/09/11;-78,489364;0;-120;0;1;-78,489364;0;-120;0;1
08/09/11;146,80068;1;146,80068;1;0;146,80068;1;146,80068;1;0
09/09/11;-358,044526;0;-120;0;1;-358,044526;0;-120;0;1
10/09/11;0;0;0;0;0;0;0;0;0;0
11/09/11;0;0;0;0;0;0;0;0;0;0
12/09/11;198,743652;1;198,743652;1;0;198,743652;1;198,743652;1;0
13/09/11;-104,372028;0;-120;0;1;-104,372028;0;-120;0;1
14/09/11;-103,902101;0;-120;0;1;-103,902101;0;-120;0;1
15/09/11;-217,19145;0;-120;0;1;-217,19145;0;-120;0;1
16/09/11;150,616157;0;150,616157;0;0;150,616157;0;150,616157;0;0
17/09/11;0;0;0;0;0;0;0;0;0;0
18/09/11;0;0;0;0;0;0;0;0;0;0
19/09/11;-13,788349;0;-13,788349;0;0;-13,788349;0;-13,788349;0;0
20/09/11;-96,740758;0;-120;0;1;-96,740758;0;-120;0;1
21/09/11;-209,79021;0;-120;0;1;-209,79021;0;-120;0;1
22/09/11;-10,282189;0;-10,282189;0;0;-10,282189;0;-10,282189;0;0
23/09/11;187,790915;1;187,790915;1;0;187,790915;1;187,790915;1;0
24/09/11;0;0;0;0;0;0;0;0;0;0
25/09/11;0;0;0;0;0;0;0;0;0;0
26/09/11;62,283737;0;62,283737;0;0;62,283737;0;62,283737;0;0
27/09/11;44,889503;0;44,889503;0;0;44,889503;0;44,889503;0;0
28/09/11;-96,774194;0;-120;0;1;-96,774194;0;-120;0;1
29/09/11;37,896187;0;37,896187;0;0;37,896187;0;37,896187;0;0
30/09/11;181,958179;1;181,958179;1;0;181,958179;1;181,958179;1;0
31/9/2011;0;0;0;0;0;0;0;0;0;0
01/10/11;0;0;0;0;0;0;0;0;0;0
02/10/11;0;0;0;0;0;0;0;0;0;0
03/10/11;164,210463;1;164,210463;1;0;164,210463;1;164,210463;1;0
04/10/11;146,869679;1;146,869679;1;0;146,869679;1;146,869679;1;0
05/10/11;-17,387273;0;-17,387273;0;0;-17,387273;0;-17,387273;0;0
