!!!! ATTENTION !!!! : La journée affiche par default une vente

strategie: MAX
dP= -112, tpa= 304, tpv=362

gain total;meilleur slA;meilleur slV
15686.91;210;10

date;type;gain;isSl;isTp
29/3/2007;V;-30.00;1;0
30/3/2007;V;74.66;0;1
31/3/2007;V;0.00;0;0
1/4/2007;V;0.00;0;0
2/4/2007;V;-30.00;1;0
3/4/2007;V;11.22;0;0
4/4/2007;V;-30.00;1;0
5/4/2007;V;-30.00;1;0
6/4/2007;V;84.06;0;1
7/4/2007;V;0.00;0;0
8/4/2007;V;0.00;0;0
9/4/2007;V;-30.00;1;0
10/4/2007;V;-30.00;1;0
11/4/2007;V;-30.00;1;0
12/4/2007;V;-30.00;1;0
13/4/2007;V;-30.00;1;0
14/4/2007;V;0.00;0;0
15/4/2007;V;0.00;0;0
16/4/2007;V;6.64;0;0
17/4/2007;V;-30.00;1;0
18/4/2007;V;-30.00;1;0
19/4/2007;V;-30.00;1;0
20/4/2007;V;75.45;0;1
21/4/2007;V;0.00;0;0
22/4/2007;V;0.00;0;0
23/4/2007;V;68.61;0;1
24/4/2007;V;-30.00;1;0
25/4/2007;V;-30.00;1;0
26/4/2007;V;68.39;0;1
27/4/2007;V;-30.00;1;0
28/4/2007;V;0.00;0;0
29/4/2007;V;0.00;0;0
30/4/2007;V;-30.00;1;0
31/4/2007;V;0.00;0;0
1/5/2007;V;-30.00;1;0
2/5/2007;V;-30.00;1;0
3/5/2007;V;-30.00;1;0
4/5/2007;V;-30.00;1;0
5/5/2007;V;0.00;0;0
6/5/2007;V;0.00;0;0
7/5/2007;V;-30.00;1;0
8/5/2007;V;106.35;0;1
9/5/2007;V;-30.00;1;0
10/5/2007;V;97.43;0;1
11/5/2007;V;-30.00;1;0
12/5/2007;V;0.00;0;0
13/5/2007;V;0.00;0;0
14/5/2007;V;-30.00;1;0
15/5/2007;V;-30.00;1;0
16/5/2007;V;96.89;0;1
17/5/2007;V;114.57;0;1
18/5/2007;V;-30.00;1;0
19/5/2007;V;0.00;0;0
20/5/2007;V;0.00;0;0
21/5/2007;V;115.64;0;1
22/5/2007;V;22.27;0;0
23/5/2007;V;-30.00;1;0
24/5/2007;V;40.15;0;0
25/5/2007;V;-30.00;1;0
26/5/2007;V;0.00;0;0
27/5/2007;V;0.00;0;0
28/5/2007;V;8.92;0;0
29/5/2007;V;-30.00;1;0
30/5/2007;V;-30.00;1;0
31/5/2007;V;-30.00;1;0
1/6/2007;V;62.86;0;1
2/6/2007;V;0.00;0;0
3/6/2007;V;0.00;0;0
4/6/2007;V;-30.00;1;0
5/6/2007;V;-30.00;1;0
6/6/2007;V;84.62;0;1
7/6/2007;V;88.71;0;1
8/6/2007;V;97.38;0;1
9/6/2007;V;0.00;0;0
10/6/2007;V;0.00;0;0
11/6/2007;V;-30.00;1;0
12/6/2007;V;92.21;0;1
13/6/2007;V;86.59;0;1
14/6/2007;V;-30.00;1;0
15/6/2007;V;-30.00;1;0
16/6/2007;V;0.00;0;0
17/6/2007;V;0.00;0;0
18/6/2007;V;-30.00;1;0
19/6/2007;V;76.22;0;1
20/6/2007;V;8.94;0;0
21/6/2007;V;56.99;0;1
22/6/2007;V;-30.00;1;0
23/6/2007;V;0.00;0;0
24/6/2007;V;0.00;0;0
25/6/2007;V;-30.00;1;0
26/6/2007;V;-30.00;1;0
27/6/2007;V;-30.00;1;0
28/6/2007;V;11.14;0;0
29/6/2007;V;-30.00;1;0
30/6/2007;V;0.00;0;0
31/6/2007;V;0.00;0;0
1/7/2007;V;0.00;0;0
2/7/2007;V;-30.00;1;0
3/7/2007;V;80.45;0;1
4/7/2007;V;-2.20;0;0
5/7/2007;V;-30.00;1;0
6/7/2007;V;-30.00;1;0
7/7/2007;V;0.00;0;0
8/7/2007;V;0.00;0;0
9/7/2007;V;-30.00;1;0
10/7/2007;V;-30.00;1;0
11/7/2007;V;-30.00;1;0
12/7/2007;V;-30.00;1;0
13/7/2007;V;-30.00;1;0
14/7/2007;V;0.00;0;0
15/7/2007;V;0.00;0;0
16/7/2007;V;-30.00;1;0
17/7/2007;V;79.41;0;1
18/7/2007;V;71.84;0;1
19/7/2007;V;-30.00;1;0
20/7/2007;V;-30.00;1;0
21/7/2007;V;0.00;0;0
22/7/2007;V;0.00;0;0
23/7/2007;V;26.03;0;0
24/7/2007;V;-30.00;1;0
25/7/2007;V;73.31;0;1
26/7/2007;V;-30.00;1;0
27/7/2007;V;75.65;0;1
28/7/2007;V;0.00;0;0
29/7/2007;V;0.00;0;0
30/7/2007;V;-30.00;1;0
31/7/2007;V;-30.00;1;0
1/8/2007;V;-30.00;1;0
2/8/2007;V;-30.00;1;0
3/8/2007;V;-30.00;1;0
4/8/2007;V;0.00;0;0
5/8/2007;V;0.00;0;0
6/8/2007;V;75.83;0;1
7/8/2007;V;73.57;0;1
8/8/2007;V;-30.00;1;0
9/8/2007;V;101.06;0;1
10/8/2007;V;-30.00;1;0
11/8/2007;V;0.00;0;0
12/8/2007;V;0.00;0;0
13/8/2007;V;121.53;0;1
14/8/2007;V;37.50;0;0
15/8/2007;V;44.43;0;0
16/8/2007;V;-30.00;1;0
17/8/2007;V;-30.00;1;0
18/8/2007;V;0.00;0;0
19/8/2007;V;0.00;0;0
20/8/2007;V;-30.00;1;0
21/8/2007;V;-30.00;1;0
22/8/2007;V;-30.00;1;0
23/8/2007;V;-30.00;1;0
24/8/2007;V;-30.00;1;0
25/8/2007;V;0.00;0;0
26/8/2007;V;0.00;0;0
27/8/2007;V;57.05;0;0
28/8/2007;V;-30.00;1;0
29/8/2007;V;-30.00;1;0
30/8/2007;V;114.24;0;1
31/8/2007;V;-30.00;1;0
1/9/2007;V;0.00;0;0
2/9/2007;V;0.00;0;0
3/9/2007;V;87.91;0;0
4/9/2007;V;123.64;0;1
5/9/2007;V;-30.00;1;0
6/9/2007;V;-30.00;1;0
7/9/2007;V;-30.00;1;0
8/9/2007;V;0.00;0;0
9/9/2007;V;0.00;0;0
10/9/2007;V;-30.00;1;0
11/9/2007;V;-30.00;1;0
12/9/2007;V;-30.00;1;0
13/9/2007;V;-30.00;1;0
14/9/2007;V;79.94;0;0
15/9/2007;V;0.00;0;0
16/9/2007;V;0.00;0;0
17/9/2007;V;38.90;0;0
18/9/2007;V;-30.00;1;0
19/9/2007;V;81.51;0;1
