date;gain;minOuverture;minFermeture;isSl;isTp
19/7/7;-30.00;0;293;1;0
20/7/7;-30.00;0;618;1;0
23/7/7;26.03;0;0;0;0
24/7/7;-30.00;0;460;1;0
25/7/7;73.31;0;234;0;1
26/7/7;-30.00;0;249;1;0
27/7/7;75.65;0;216;0;1
30/7/7;-30.00;0;210;1;0
31/7/7;-30.00;0;501;1;0
1/8/7;-30.00;0;495;1;0
2/8/7;-30.00;0;690;1;0
3/8/7;-30.00;0;513;1;0
6/8/7;75.83;0;414;0;1
7/8/7;73.57;0;561;0;1
8/8/7;-30.00;0;228;1;0
9/8/7;101.06;0;390;0;1
10/8/7;-30.00;0;301;1;0
13/8/7;121.53;0;606;0;1
14/8/7;37.50;0;0;0;0
15/8/7;44.43;0;0;0;0
16/8/7;-30.00;0;209;1;0
17/8/7;-30.00;0;224;1;0
20/8/7;-30.00;0;243;1;0
21/8/7;-30.00;0;391;1;0
22/8/7;-30.00;0;449;1;0
23/8/7;-30.00;0;331;1;0
24/8/7;-30.00;0;226;1;0
27/8/7;57.05;0;0;0;0
28/8/7;-30.00;0;195;1;0
29/8/7;-30.00;0;209;1;0
30/8/7;114.24;0;356;0;1
31/8/7;-30.00;0;451;1;0
3/9/7;87.91;0;0;0;0
4/9/7;123.64;0;504;0;1
5/9/7;-30.00;0;274;1;0
6/9/7;-30.00;0;259;1;0
7/9/7;-30.00;0;288;1;0
10/9/7;-30.00;0;340;1;0
11/9/7;-30.00;0;287;1;0
12/9/7;-30.00;0;408;1;0
13/9/7;-30.00;0;222;1;0
14/9/7;79.94;0;0;0;0
17/9/7;38.90;0;0;0;0
18/9/7;-30.00;0;210;1;0
19/9/7;81.51;0;340;0;1
20/9/7;-30.00;0;199;1;0
21/9/7;73.99;0;278;0;1
24/9/7;75.39;0;668;0;1
25/9/7;-30.00;0;260;1;0
26/9/7;4.25;0;0;0;0
27/9/7;-30.00;0;445;1;0
28/9/7;-30.00;0;211;1;0
1/10/7;52.61;0;0;0;0
2/10/7;80.85;0;412;0;1
3/10/7;-30.00;0;460;1;0
4/10/7;-30.00;0;309;1;0
5/10/7;102.84;0;510;0;1
8/10/7;110.80;0;653;0;1
9/10/7;-30.00;0;590;1;0
10/10/7;-30.00;0;199;1;0
11/10/7;-30.00;0;241;1;0
12/10/7;-30.00;0;521;1;0
15/10/7;-30.00;0;222;1;0
16/10/7;114.10;0;212;0;1
17/10/7;-30.00;0;510;1;0
18/10/7;-30.00;0;399;1;0
19/10/7;107.53;0;642;0;1
22/10/7;112.34;0;354;0;1
23/10/7;-30.00;0;222;1;0
24/10/7;-30.00;0;512;1;0
25/10/7;-30.00;0;295;1;0
26/10/7;-30.00;0;494;1;0
29/10/7;-30.00;0;251;1;0
30/10/7;-30.00;0;248;1;0
31/10/7;-30.00;0;719;1;0
1/11/7;88.80;0;294;0;1
2/11/7;-30.00;0;314;1;0
5/11/7;85.05;0;350;0;1
6/11/7;-30.00;0;365;1;0
7/11/7;-30.00;0;233;1;0
8/11/7;-30.00;0;312;1;0
9/11/7;-30.00;0;274;1;0
12/11/7;99.83;0;242;0;1
13/11/7;55.38;0;0;0;0
14/11/7;-30.00;0;274;1;0
15/11/7;117.80;0;345;0;1
16/11/7;120.65;0;200;0;1
19/11/7;-30.00;0;496;1;0
20/11/7;-30.00;0;187;1;0
21/11/7;-30.00;0;524;1;0
22/11/7;-12.13;0;0;0;0
23/11/7;103.40;0;194;0;1
26/11/7;-30.00;0;305;1;0
27/11/7;-30.00;0;493;1;0
28/11/7;105.04;0;465;0;1
29/11/7;97.26;0;199;0;1
30/11/7;-30.00;0;235;1;0
3/12/7;117.21;0;241;0;1
4/12/7;-30.00;0;365;1;0
5/12/7;124.30;0;516;0;1
6/12/7;-30.00;0;526;1;0
7/12/7;-30.00;0;243;1;0
10/12/7;-30.00;0;297;1;0
11/12/7;36.68;0;0;0;0
12/12/7;-30.00;0;541;1;0
13/12/7;133.16;0;513;0;1
14/12/7;137.33;0;285;0;1
17/12/7;165.29;0;311;0;1
18/12/7;-30.00;0;491;1;0
19/12/7;-30.00;0;263;1;0
20/12/7;52.19;0;0;0;0
21/12/7;68.77;0;0;0;0
24/12/7;-30.00;0;377;1;0
26/12/7;-30.00;0;333;1;0
27/12/7;-30.00;0;510;1;0
28/12/7;-30.00;0;250;1;0
31/12/7;104.00;0;591;0;1
2/1/8;-30.00;0;211;1;0
3/1/8;-30.00;0;329;1;0
4/1/8;-30.00;0;250;1;0
7/1/8;-30.00;0;203;1;0
8/1/8;-30.00;0;600;1;0
9/1/8;146.26;0;643;0;1
10/1/8;-30.00;0;270;1;0
11/1/8;34.45;0;0;0;0
14/1/8;-30.00;0;262;1;0
15/1/8;-30.00;0;491;1;0
16/1/8;99.96;0;348;0;1
17/1/8;116.43;0;206;0;1
18/1/8;-30.00;0;202;1;0
21/1/8;141.12;0;371;0;1
22/1/8;-30.00;0;191;1;0
23/1/8;-30.00;0;224;1;0
24/1/8;-30.00;0;182;1;0
25/1/8;177.63;0;710;0;1
28/1/8;-30.00;0;218;1;0
29/1/8;-30.00;0;352;1;0
30/1/8;-30.00;0;247;1;0
31/1/8;-30.00;0;376;1;0
1/2/8;-30.00;0;418;1;0
4/2/8;10.11;0;0;0;0
5/2/8;98.31;0;240;0;1
6/2/8;-30.00;0;184;1;0
7/2/8;-30.00;0;253;1;0
8/2/8;-30.00;0;247;1;0
11/2/8;113.34;0;521;0;1
12/2/8;-30.00;0;459;1;0
13/2/8;-30.00;0;240;1;0
14/2/8;-30.00;0;189;1;0
15/2/8;-30.00;0;255;1;0
18/2/8;124.37;0;398;0;1
19/2/8;-30.00;0;355;1;0
20/2/8;-30.00;0;213;1;0
21/2/8;-30.00;0;218;1;0
22/2/8;-30.00;0;241;1;0
25/2/8;-30.00;0;505;1;0
26/2/8;-30.00;0;218;1;0
27/2/8;-30.00;0;183;1;0
28/2/8;-30.00;0;302;1;0
29/2/8;131.70;0;460;0;1
3/3/8;-30.00;0;543;1;0
4/3/8;-30.00;0;203;1;0
5/3/8;-30.00;0;483;1;0
6/3/8;-30.00;0;184;1;0
7/3/8;-30.00;0;240;1;0
